iter	Passed	Remaining
0	2	2414
1	4	2115
2	5	1895
3	6	1708
4	8	1605
5	9	1497
6	10	1469
7	11	1483
8	13	1456
9	14	1408
10	15	1368
11	16	1378
12	18	1377
13	19	1365
14	20	1351
15	21	1345
16	23	1339
17	24	1330
18	25	1324
19	26	1304
20	27	1294
21	29	1294
22	30	1307
23	32	1301
24	32	1286
25	34	1292
26	35	1289
27	37	1285
28	37	1271
29	39	1263
30	40	1268
31	42	1276
32	43	1269
33	44	1255
34	45	1248
35	46	1245
36	47	1248
37	49	1255
38	50	1249
39	52	1252
40	53	1255
41	55	1261
42	56	1252
43	57	1248
44	58	1251
45	60	1255
46	61	1249
47	62	1242
48	63	1241
49	65	1240
50	66	1238
51	67	1232
52	68	1229
53	70	1233
54	72	1242
55	73	1238
56	74	1232
57	75	1228
58	77	1235
59	78	1233
60	79	1228
61	80	1224
62	82	1225
63	84	1234
64	85	1228
65	86	1222
66	87	1213
67	88	1211
68	90	1218
69	91	1217
70	92	1212
71	93	1205
72	95	1206
73	96	1208
74	97	1202
75	98	1199
76	100	1207
77	105	1244
78	107	1253
79	111	1282
80	113	1287
81	115	1289
82	116	1287
83	120	1315
84	122	1319
85	124	1327
86	127	1342
87	130	1348
88	132	1354
89	133	1354
90	139	1388
91	140	1388
92	144	1409
93	145	1403
94	147	1407
95	149	1410
96	150	1403
97	154	1418
98	162	1478
99	163	1473
100	165	1471
101	166	1466
102	167	1462
103	168	1454
104	169	1448
105	171	1444
106	172	1440
107	174	1439
108	175	1432
109	176	1424
110	177	1419
111	178	1417
112	180	1413
113	181	1407
114	182	1402
115	183	1398
116	185	1397
117	186	1396
118	188	1395
119	190	1399
120	193	1405
121	195	1410
122	198	1417
123	200	1413
124	201	1408
125	202	1404
126	203	1400
127	205	1396
128	206	1394
129	207	1390
130	209	1386
131	210	1382
132	211	1375
133	211	1369
134	212	1363
135	214	1359
136	215	1357
137	216	1351
138	217	1345
139	218	1340
140	219	1337
141	220	1333
142	222	1331
143	223	1326
144	224	1321
145	225	1317
146	226	1316
147	228	1313
148	229	1309
149	230	1305
150	231	1302
151	233	1301
152	234	1299
153	235	1294
154	236	1289
155	237	1286
156	239	1284
157	241	1284
158	242	1281
159	243	1277
160	243	1271
161	245	1267
162	246	1263
163	247	1259
164	247	1254
165	249	1251
166	250	1248
167	252	1248
168	253	1245
169	254	1241
170	255	1238
171	256	1237
172	258	1236
173	259	1233
174	260	1229
175	261	1225
176	263	1223
177	264	1220
178	265	1216
179	266	1212
180	267	1208
181	268	1205
182	270	1206
183	271	1202
184	272	1198
185	273	1195
186	274	1192
187	275	1191
188	277	1188
189	278	1186
190	279	1183
191	280	1180
192	281	1177
193	283	1176
194	284	1172
195	285	1169
196	286	1167
197	288	1166
198	288	1163
199	289	1159
200	290	1155
201	292	1154
202	293	1153
203	295	1151
204	296	1149
205	297	1146
206	298	1143
207	300	1143
208	301	1140
209	302	1137
210	303	1134
211	304	1131
212	306	1131
213	307	1128
214	308	1125
215	309	1122
216	310	1119
217	311	1117
218	312	1115
219	313	1112
220	314	1110
221	316	1109
222	317	1107
223	318	1104
224	319	1101
225	320	1097
226	321	1095
227	323	1094
228	324	1092
229	325	1090
230	326	1087
231	327	1084
232	329	1083
233	330	1080
234	331	1078
235	332	1075
236	333	1074
237	334	1071
238	336	1070
239	337	1067
240	337	1064
241	338	1061
242	340	1059
243	341	1058
244	343	1057
245	344	1056
246	346	1055
247	347	1054
248	348	1052
249	350	1051
250	351	1049
251	353	1047
252	355	1049
253	356	1046
254	357	1044
255	358	1042
256	360	1041
257	361	1038
258	362	1035
259	363	1033
260	364	1031
261	365	1030
262	366	1028
263	367	1025
264	368	1022
265	369	1020
266	371	1019
267	372	1017
268	373	1016
269	375	1013
270	376	1011
271	377	1010
272	378	1008
273	379	1005
274	380	1003
275	382	1002
276	383	1001
277	384	999
278	385	996
279	386	994
280	387	992
281	389	990
282	390	989
283	391	987
284	392	985
285	394	984
286	395	982
287	396	981
288	397	978
289	398	976
290	399	974
291	401	972
292	402	971
293	403	969
294	404	966
295	405	965
296	407	963
297	408	961
298	409	959
299	410	957
300	411	956
301	413	954
302	414	953
303	415	951
304	416	949
305	417	947
306	419	946
307	421	946
308	422	944
309	423	941
310	424	940
311	425	939
312	426	937
313	427	934
314	428	932
315	429	930
316	431	929
317	432	928
318	433	925
319	434	923
320	435	921
321	436	919
322	438	918
323	439	917
324	440	915
325	442	914
326	443	913
327	445	913
328	446	911
329	447	909
330	449	908
331	450	906
332	451	904
333	452	901
334	452	898
335	454	897
336	455	895
337	456	893
338	457	892
339	458	890
340	459	888
341	460	886
342	462	884
343	463	883
344	464	881
345	464	878
346	466	877
347	467	876
348	468	874
349	469	872
350	470	870
351	472	870
352	474	869
353	475	867
354	476	865
355	477	863
356	478	861
357	480	861
358	482	860
359	483	858
360	484	856
361	485	855
362	486	854
363	487	852
364	488	850
365	489	848
366	490	846
367	492	845
368	492	842
369	494	841
370	495	839
371	496	838
372	498	837
373	499	835
374	500	833
375	500	831
376	502	830
377	504	830
378	505	828
379	506	826
380	507	824
381	509	823
382	510	822
383	511	820
384	512	818
385	514	817
386	515	817
387	516	815
388	517	813
389	518	811
390	519	809
391	521	808
392	523	807
393	524	806
394	525	804
395	526	803
396	528	802
397	529	801
398	530	799
399	531	797
400	533	796
401	534	795
402	535	793
403	536	791
404	537	790
405	539	789
406	540	787
407	541	786
408	542	784
409	544	783
410	545	782
411	546	780
412	547	778
413	548	776
414	549	774
415	551	773
416	553	773
417	554	771
418	555	769
419	556	768
420	557	766
421	558	765
422	560	763
423	560	762
424	562	760
425	564	760
426	565	759
427	566	757
428	568	756
429	569	755
430	570	753
431	571	752
432	573	750
433	574	749
434	576	748
435	577	747
436	578	745
437	579	743
438	581	742
439	582	741
440	583	739
441	584	738
442	585	736
443	587	735
444	588	734
445	589	732
446	590	731
447	592	729
448	594	729
449	595	727
450	596	725
451	597	723
452	598	722
453	600	721
454	601	720
455	602	718
456	603	716
457	604	715
458	606	714
459	607	712
460	608	710
461	608	709
462	609	707
463	611	706
464	612	704
465	613	703
466	614	701
467	615	700
468	617	698
469	618	697
470	619	695
471	620	694
472	621	692
473	622	690
474	623	689
475	624	687
476	625	686
477	626	684
478	628	683
479	629	682
480	631	680
481	631	679
482	632	677
483	634	676
484	636	675
485	637	673
486	637	672
487	638	670
488	639	668
489	640	666
490	642	665
491	643	664
492	644	663
493	645	661
494	647	660
495	648	659
496	649	657
497	650	655
498	651	653
499	652	652
500	653	650
501	654	649
502	655	647
503	656	646
504	657	644
505	658	642
506	660	642
507	661	640
508	662	639
509	663	637
510	664	636
511	666	635
512	667	633
513	668	632
514	669	630
515	670	629
516	672	628
517	673	626
518	674	624
519	675	623
520	676	621
521	678	621
522	679	619
523	680	617
524	681	616
525	682	615
526	684	614
527	685	612
528	686	611
529	687	609
530	688	607
531	689	606
532	690	605
533	691	603
534	692	602
535	694	601
536	696	600
537	697	599
538	698	597
539	700	596
540	702	595
541	704	594
542	705	593
543	706	592
544	707	590
545	709	589
546	710	588
547	712	587
548	713	586
549	715	585
550	716	583
551	716	581
552	718	580
553	719	579
554	720	577
555	722	576
556	723	575
557	724	573
558	725	572
559	726	571
560	727	569
561	728	568
562	730	566
563	731	565
564	732	564
565	733	562
566	734	560
567	735	559
568	736	558
569	738	556
570	739	555
571	740	553
572	741	552
573	742	550
574	743	549
575	744	547
576	745	546
577	746	545
578	747	543
579	749	542
580	750	541
581	751	539
582	752	538
583	754	537
584	755	535
585	756	534
586	757	533
587	758	531
588	759	530
589	761	529
590	762	527
591	763	526
592	764	524
593	765	523
594	767	522
595	768	520
596	769	519
597	770	517
598	771	516
599	772	515
600	774	514
601	775	512
602	776	511
603	777	509
604	778	508
605	779	506
606	781	505
607	782	504
608	783	502
609	784	501
610	785	500
611	788	499
612	793	500
613	795	500
614	796	498
615	798	497
616	801	497
617	804	497
618	806	496
619	808	495
620	809	494
621	811	493
622	812	491
623	814	490
624	815	489
625	816	487
626	817	486
627	819	485
628	820	484
629	823	483
630	824	482
631	825	480
632	826	479
633	828	478
634	829	476
635	831	475
636	832	474
637	833	472
638	834	471
639	835	470
640	836	468
641	837	467
642	838	465
643	840	464
644	841	463
645	842	461
646	843	460
647	844	458
648	846	457
649	847	456
650	848	455
651	849	453
652	851	452
653	852	450
654	853	449
655	854	448
656	855	446
657	856	445
658	865	447
659	866	446
660	868	445
661	869	444
662	871	443
663	872	441
664	873	439
665	874	438
666	875	436
667	876	435
668	877	434
669	878	432
670	879	431
671	880	429
672	882	429
673	883	427
674	884	426
675	885	424
676	886	423
677	888	421
678	889	420
679	890	419
680	891	417
681	892	416
682	893	414
683	894	413
684	895	411
685	896	410
686	897	408
687	898	407
688	899	405
689	900	404
690	901	403
691	902	401
692	903	400
693	904	398
694	905	397
695	907	396
696	908	394
697	909	393
698	910	391
699	911	390
700	913	389
701	914	388
702	915	386
703	916	385
704	917	383
705	918	382
706	919	381
707	920	379
708	921	378
709	922	376
710	923	375
711	924	373
712	925	372
713	927	371
714	927	369
715	929	368
716	930	367
717	932	366
718	933	364
719	934	363
720	935	361
721	936	360
722	937	359
723	938	357
724	939	356
725	940	354
726	941	353
727	942	352
728	943	350
729	944	349
730	945	347
731	946	346
732	947	345
733	948	343
734	949	342
735	950	341
736	952	339
737	953	338
738	954	337
739	956	335
740	956	334
741	957	332
742	958	331
743	959	330
744	960	328
745	961	327
746	962	325
747	963	324
748	963	323
749	964	321
750	965	320
751	967	318
752	967	317
753	968	316
754	969	314
755	970	313
756	970	311
757	972	310
758	973	309
759	974	307
760	974	306
761	975	304
762	976	303
763	977	301
764	978	300
765	979	299
766	980	297
767	981	296
768	982	295
769	982	293
770	983	292
771	985	291
772	986	289
773	987	288
774	988	287
775	989	285
776	991	284
777	992	283
778	993	281
779	994	280
780	995	279
781	996	277
782	997	276
783	998	275
784	999	273
785	1000	272
786	1002	271
787	1003	269
788	1004	268
789	1005	267
790	1006	266
791	1008	264
792	1009	263
793	1011	262
794	1012	261
795	1014	259
796	1016	258
797	1017	257
798	1018	256
799	1019	254
800	1021	253
801	1023	252
802	1024	251
803	1025	249
804	1026	248
805	1028	247
806	1029	246
807	1031	245
808	1032	243
809	1033	242
810	1035	241
811	1036	239
812	1037	238
813	1038	237
814	1040	236
815	1041	234
816	1042	233
817	1043	232
818	1044	230
819	1046	229
820	1047	228
821	1049	227
822	1049	225
823	1051	224
824	1052	223
825	1054	222
826	1055	220
827	1055	219
828	1056	218
829	1058	216
830	1060	215
831	1061	214
832	1065	213
833	1066	212
834	1067	210
835	1068	209
836	1070	208
837	1072	207
838	1073	206
839	1074	204
840	1075	203
841	1077	202
842	1078	200
843	1079	199
844	1080	198
845	1081	196
846	1083	195
847	1084	194
848	1085	193
849	1086	191
850	1088	190
851	1089	189
852	1090	187
853	1091	186
854	1092	185
855	1094	184
856	1095	182
857	1096	181
858	1097	180
859	1099	178
860	1100	177
861	1101	176
862	1102	175
863	1103	173
864	1104	172
865	1106	171
866	1107	169
867	1108	168
868	1109	167
869	1110	166
870	1112	164
871	1114	163
872	1115	162
873	1116	160
874	1117	159
875	1119	158
876	1120	157
877	1121	155
878	1122	154
879	1124	153
880	1125	152
881	1126	150
882	1127	149
883	1128	148
884	1129	146
885	1131	145
886	1132	144
887	1133	142
888	1133	141
889	1134	140
890	1136	139
891	1137	137
892	1138	136
893	1139	135
894	1140	133
895	1141	132
896	1143	131
897	1144	129
898	1145	128
899	1146	127
900	1148	126
901	1149	124
902	1150	123
903	1151	122
904	1153	121
905	1155	119
906	1156	118
907	1157	117
908	1157	115
909	1158	114
910	1160	113
911	1161	112
912	1162	110
913	1163	109
914	1164	108
915	1165	106
916	1166	105
917	1168	104
918	1169	103
919	1170	101
920	1172	100
921	1173	99
922	1174	97
923	1175	96
924	1176	95
925	1177	94
926	1179	92
927	1180	91
928	1181	90
929	1181	88
930	1183	87
931	1184	86
932	1185	85
933	1186	83
934	1187	82
935	1188	81
936	1190	80
937	1191	78
938	1192	77
939	1193	76
940	1194	74
941	1196	73
942	1197	72
943	1198	71
944	1199	69
945	1200	68
946	1202	67
947	1203	66
948	1204	64
949	1205	63
950	1206	62
951	1208	60
952	1209	59
953	1210	58
954	1211	57
955	1213	55
956	1214	54
957	1215	53
958	1216	52
959	1217	50
960	1219	49
961	1220	48
962	1221	46
963	1222	45
964	1223	44
965	1224	43
966	1225	41
967	1226	40
968	1227	39
969	1228	38
970	1229	36
971	1231	35
972	1232	34
973	1233	32
974	1234	31
975	1235	30
976	1237	29
977	1238	27
978	1240	26
979	1241	25
980	1242	24
981	1243	22
982	1245	21
983	1246	20
984	1247	19
985	1249	17
986	1250	16
987	1251	15
988	1252	13
989	1253	12
990	1255	11
991	1256	10
992	1257	8
993	1258	7
994	1259	6
995	1260	5
996	1261	3
997	1262	2
998	1264	1
999	1265	0
